label	definition	caption
A capella	A type of vocal music performed without instrumental accompaniment, characterized by a rich, full sound and intricate harmonies.	
Cap gun	A firearm that produces a loud, sharp sound when fired, often used in movies and television shows.	
Basketball bounce	The sound produced when a basketball bounces off a surface, characterized by a sharp, high-pitched tone.	
Boing	A short, high-pitched sound often produced by a toy or electronic device, characterized by a sharp, metallic tone.	
Bleat	A soft, high-pitched vocalization produced by sheep, often used for communication or warning.	
Folk music	Traditional music passed down through generations, often characterized by its use of acoustic instruments and distinctive melodies and rhythms.	
Children playing	The joyful and energetic sounds produced by children playing games, jumping, and laughing.	
Bow-wow	The loud, high-pitched barking of a dog, often characterized by its repetitive and rhythmic nature.	
Blues	The melancholic and expressive musical genre originating from African American communities, characterized by its use of blue notes and improvisation.	
Middle Eastern music	A diverse range of musical styles and genres originating from the Middle East, characterized by intricate melodies, rhythms, and harmonies often featuring instruments such as the oud, qanun, and tabla.	
Music of Africa	A rich tapestry of musical traditions and styles originating from the African continent, characterized by diverse rhythms, melodies, and harmonies often featuring instruments such as the kora, djembe, and mbira.	
Chopping (food)	The sound produced by the rapid, repetitive motion of a knife or cutting tool against food, characterized by short, sharp bursts of sound often accompanied by the sound of food being cut and the clinking of utensils.	
Cattle, bovinae	The low, mooing vocalizations produced by cows, characterized by their rhythmic, resonant quality and distinct pitch.	
Reggae	The rhythmic, staccato sound of reggae music, often characterized by its use of bass guitar, rhythm guitar, and percussion instruments.	
Bouncing	The repetitive, high-pitched sound produced by a ball or other object bouncing off a surface, characterized by its echo and reverberation.	
Fusillade	A rapid, continuous series of short, sharp sounds, often produced by a machine gun or a series of explosions.	
Reversing beeps	A series of short, high-pitched beeps produced by a reversing signal on a vehicle or equipment.	
Caterwaul	A loud, piercing, and often discordant vocalization produced by a cat, often used to express anger or discomfort.	
Breaking	The sharp, cracking sound produced by the impact of two hard surfaces, such as glass or concrete, shattering into pieces.	
Music of Latin America	A diverse range of musical genres and styles originating from Latin American countries, characterized by their use of traditional instruments, rhythms, and melodies.	
Burst, pop	A sudden, explosive sound produced by the release of pressure or energy, often accompanied by a sharp, crackling noise, such as the sound of a balloon popping or a firecracker exploding.	
Effects unit	An electronic device used to manipulate and enhance the sound of an instrument or audio signal, often used in music production and live performances.	
Electronic music	Music produced using electronic instruments and technology, characterized by its use of synthesizers, drum machines, and other electronic devices.	
Air brake	The sound produced by the activation of an air brake system, typically characterized by a sharp, high-pitched whistle or screeching noise.	
Afrobeat	A genre of music originating from West Africa, characterized by its rhythmic percussion, call-and-response vocals, and fusion of traditional African and Western musical elements.	
Canidae, wild dogs, wolves	The family of carnivorous mammals that includes dogs, wolves, and other related species, characterized by their distinctive howls and vocalizations.	
Canidae, dogs, wolves	The family of carnivorous mammals that includes dogs, wolves, and other related species, characterized by their distinctive howls and vocalizations.	
Background music	Music played in the background of a scene or event, often used to set the mood or atmosphere, and typically not the focus of attention.	
Choir	A group of people singing together in harmony, often with distinct voices and melodies.	
Artillery fire	The loud, explosive sounds produced by artillery guns, characterized by their sharp, short bursts of sound.	
Buzzer	A high-pitched, electronic sound produced by a device to alert or signal, often used in various contexts such as alarms or timers.	
Rock music	A genre of popular music characterized by strong, steady beats, distorted electric guitars, and often rebellious lyrics.	
Bee, wasp, etc.	The buzzing or humming sounds produced by bees, wasps, and other flying insects, often characterized by their high-pitched, rapid vibrations.	
Disco	The upbeat, danceable music associated with the disco era of the 1970s and 1980s, often characterized by its use of electronic instruments, synthesizers, and repetitive beats.	
Sine wave	A pure, oscillating sound characterized by a single frequency and amplitude, often used in electronic music and sound synthesis.	
Music of Asia	A diverse range of musical styles and genres originating from Asia, characterized by unique instruments, melodies, and rhythms.	
Bluegrass	A genre of folk music originating from the Appalachian region of the United States, characterized by its use of acoustic instruments such as the banjo, fiddle, and guitar, and its lively, upbeat tempo.	
Jazz	A genre of music characterized by improvisation, complex harmonies, and syncopated rhythms, often featuring instruments such as saxophone, trumpet, and piano.	
Beatboxing	The art of producing rhythmic and melodic sounds using one's mouth, often accompanied by vocalizations and percussive sounds.	
Chant	A form of singing characterized by simple, repetitive melodies and lyrics, often used in religious or cultural contexts.	
Goat	A goat produces a distinctive, high-pitched bleating sound, often characterized by its rhythmic, repetitive nature.	
Caw	A crow produces a loud, piercing cawing sound, often used as a warning or alert call.	
Independent music	Independent music is a genre of music characterized by its unique, creative, and unconventional sound, often produced by individual artists or small bands.	
Rhythm and blues	A genre of music characterized by its strong, steady rhythm and soulful vocals, often featuring instruments such as the guitar, piano, and drums.	
Music for children	A genre of music designed for children, typically featuring simple melodies, catchy tunes, and lyrics that are easy to understand and sing along to.	
Chirp tone	A high-pitched, short-duration sound produced by certain insects, such as crickets and grasshoppers, to communicate with each other.	
Change ringing (campanology)	The melodic ringing of church bells, characterized by a rhythmic pattern of ascending and descending notes.	
Bellow	A loud, resonant sound produced by blowing air through a large instrument, such as a brass horn or a tuba.	
Biting	A sharp, stinging sensation caused by the contact of teeth on a hard surface, often accompanied by a distinct sound.	
Ambient music	A type of music characterized by its calming and relaxing nature, often featuring soft, atmospheric sounds and minimal instrumentation.	
Cello	A stringed musical instrument with a rich, resonant sound, typically played with a bow and used in classical and contemporary music.	
Funk	A genre of music characterized by its upbeat tempo, syncopated rhythms, and distinctive bass lines, often featuring horns, percussion, and soulful vocals.	
New-age music	A genre of instrumental music characterized by its use of electronic instruments, atmospheric soundscapes, and ethereal melodies.	
Vocal music	A genre of music that primarily features the human voice as the main instrument, often accompanied by other instruments such as piano or guitar.	
Soul music	A genre of music that originated in the United States in the late 1950s and early 1960s, characterized by its use of gospel, rhythm and blues, and jazz influences, and its emphasis on expressive vocals and emotional lyrics.	
Christian music	A genre of music that is primarily associated with Christianity, often characterized by its uplifting and spiritual themes.	
Child singing	The vocalizations produced by children, often characterized by their high-pitched voices and simple melodies.	
Chorus effect	A sound effect that creates a sense of depth and spaciousness by adding multiple layers of sound to a single recording.	
Battle cry	A loud, intense vocalization used to signal the beginning of a battle or conflict.	
Country	A genre of music characterized by its use of acoustic instruments, such as guitars, banjos, and fiddles, and its focus on themes of love, work, and hardship.	
Classical music	A genre of music characterized by its use of traditional instruments, such as violins, cellos, and pianos, and its focus on complex, structured compositions often written for orchestras or chamber ensembles.	
Bang	A sudden, sharp sound produced by the impact of two objects or the release of energy, often characterized by a short duration and high intensity.	
Quack	A short, high-pitched sound produced by the vocal cords of a duck, characterized by its distinctive rhythm and pitch.	
Vibraphone	A percussion instrument consisting of metal bars that are struck with mallets, producing a bright, resonant sound.	
Christmas music	A collection of songs and melodies associated with the holiday season, often characterized by their cheerful and festive qualities.	
Tubular bells	A set of eight metal bells, each with a different pitch, that produce a melodic, resonant sound when struck.	
Sitar	A plucked stringed instrument from India, characterized by its long neck and a gourd resonator, producing a rich, resonant sound.	
String section	An orchestral section consisting of violins, violas, cellos, and double basses, producing a rich, harmonious sound through the vibration of strings.	
Horse	The sound of a horse's hooves galloping on a hard surface, characterized by a rhythmic, clattering noise.	
House music	A genre of electronic dance music (EDM) produced largely for nightclubs, festivals, and raves, characterized by repetitive beats and synthesized sounds.	
Alto saxophone	A woodwind instrument with a single reed and a conical bore, played by blowing air across a single reed and producing sound through the vibration of the reed, characterized by a bright, piercing tone.	
Whir	A low-pitched, continuous sound produced by the rotation of a small object, such as a fan or a motor.	
Swing music	A genre of popular music originating in the United States in the 1930s and 1940s, characterized by its lively, upbeat tempo and distinctive rhythm.	
Grind	A rough, grinding sound produced by the friction of two surfaces in contact, such as the grinding of teeth or the turning of a millstone.	
Theremin	A musical instrument that produces eerie, ethereal sounds through the use of electromagnetic fields and the movement of the performer's hands. The sound is often described as haunting and otherworldly.	
Harpsichord	A keyboard instrument with strings that are plucked by a plectrum, producing a bright, resonant sound. The harpsichord is often associated with the Baroque period and is known for its intricate, ornate melodies.	
Music of Bollywood	A genre of Indian music that combines traditional Indian classical music with modern pop and film music. Bollywood music is characterized by its use of a wide range of instruments, including the sitar, tabla, and dholak, and is often associated with romantic love stories and dance sequences in Indian films.	
Video game music	A type of electronic music specifically composed for video games, often characterized by its upbeat tempo, catchy melodies, and dynamic changes.	
Electronic dance music	A broad range of percussive electronic music produced largely for nightclubs, festivals, and raves, produced largely for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another.	
Salsa music	A genre of Latin American music that originated in New York City in the 1960s, characterized by its lively rhythm, complex harmonies, and improvisational nature.	
Hum	A low-frequency, continuous sound produced by the vibration of objects or air, often characterized by a steady rhythm.	
Flamenco	A traditional Spanish art form characterized by singing, guitar playing, and dancing, often accompanied by hand clapping and percussive instruments.	
Steel guitar, slide guitar	A type of guitar with a steel or metal neck, played by sliding a metal bar or plectrum along the strings to produce a unique, twangy sound.	
Brief tone	A short, sharp sound with a distinct pitch and duration, often used in musical or electronic contexts.	
Funny music	A type of music characterized by its humor, often featuring unexpected or exaggerated elements, such as dissonance, rhythmic changes, or absurd lyrics.	
Oink	A short, high-pitched sound produced by a pig, often used to express excitement, aggression, or communication.	
Exciting music	A lively and energetic musical composition, often characterized by fast tempo, strong rhythm, and dynamic changes.	
Crowing, cock-a-doodle-doo	The melodious vocalizations produced by crows, often characterized by their distinctive, repetitive pattern and pitch.	
Mandolin	A stringed musical instrument, played with a plectrum, characterized by its small size, high-pitched sound, and distinctive twang.	
Trance music	A type of electronic dance music characterized by its fast tempo, uplifting melodies, and use of synthesized sounds.	
Snicker	A light, playful sound produced by the nose and mouth when laughing or teasing someone.	
Bugle	A brass instrument used to signal the start of a ceremony, parade, or other important event, producing a loud, resonant sound.	
Heavy metal	A genre of music characterized by its heavy, distorted electric guitars, powerful drums, and often theatrical vocals.	
Whip	A long, flexible, and often leather-covered tool used for cracking or flogging, typically used in horseback riding or as a form of punishment.	
Roll	A sound produced by the movement of a wheel or other rotating object, characterized by a rhythmic, repetitive pattern.	
Drum beat	A rhythmic, percussive sound produced by striking a drum or other percussion instrument.	
Bassoon	A woodwind instrument with a deep, resonant sound, characterized by its reedy tone and distinctive pitch.	
Flap	A sudden, sharp sound produced by the movement of a flexible object, such as a bird's wing or a flag.	
Neigh, whinny	"The high-pitched, rhythmic vocalizations produced by a horse, often characterized by a distinctive ""neigh"" sound and a ""whinny"" tone."	
Rattle	The metallic, clattering sound produced by the movement of small objects or debris, often accompanied by a sharp, crackling noise.	
Synthesizer	An electronic device that generates and manipulates sound, often used in music production and sound design, characterized by its ability to create a wide range of sounds and tones.	
French horn	A brass instrument with a conical bore and a distinctive, mellow, and resonant sound.	
Funk carioca	A genre of Brazilian funk music characterized by its lively, upbeat rhythms, syncopated percussion, and soulful vocals.	
Clip-clop	The rhythmic sound produced by the striking of horse hooves on a hard surface, often accompanied by the jingling of bells or other accessories.	
Psychedelic rock	A genre of rock music characterized by its use of distorted electric guitars, psychedelic visuals, and unconventional song structures.	
Sizzle	A high-pitched, crackling sound produced by the rapid heating and cooling of a surface, such as a pan or griddle, while cooking food.	
Techno	A genre of electronic dance music characterized by its repetitive beats, synthesized sounds, and use of digital audio workstations.	
Bassline	A rhythmic, low-pitched melody or harmony that provides a foundation for other musical elements.	
Slap, smack	A sharp, percussive sound produced by striking a surface with a flat hand or other object.	
Scrape	A metallic, grating sound produced by dragging a hard object across a surface.	
Surface contact	The sound produced by the contact of two surfaces, characterized by a sharp, short duration and a high-pitched frequency.	
Cumbia	A lively, rhythmic dance music originating from Latin America, characterized by a strong beat and a distinctive melody.	
Pulse	The steady, rhythmic sound produced by the beating of a heart or other pulsating object, characterized by a regular, steady rhythm and a moderate volume.	
Trombone	A brass instrument with a telescoping slide mechanism, producing a deep, resonant sound with a rich, warm tone.	
Grunge	A genre of alternative rock music originating in the Pacific Northwest in the 1980s and 1990s, characterized by its heavy, distorted guitar sound, angsty lyrics, and grunge-inspired fashion.	
Melody	A succession of musical notes played or sung in a pleasing and harmonious order, often characterized by its pitch, rhythm, and contour.	
Scratch	A short, sharp sound produced by rubbing a finger or object against a surface, often heard in DJing or turntablism.	
Cluck	A short, sharp sound produced by the beak of a bird, often heard when birds are communicating or alarmed.	
Kwaito	A genre of South African electronic dance music characterized by its fast tempo, syncopated rhythms, and use of electronic instruments.	
Ding	A short, sharp, metallic sound often produced by a bell or a gong.	
Opera	A dramatic musical form characterized by its complex structure, expressive melodies, and elaborate ornamentation, often featuring arias, duets, and ensembles.	
Timpani	A percussion instrument consisting of a set of tuned drums with metal frames, played with wooden mallets and used to produce deep, resonant bass tones.	
Snort (horse)	A short, sharp sound produced by a horse when it inhales air through its nostrils, often accompanied by a slight whistling sound.	
Scary music	Music that is intended to evoke fear or anxiety, often characterized by its dissonance, intensity, and sudden changes in tempo or dynamics.	
Jingle, tinkle	A short, ringing sound produced by metal or plastic objects that are shaken or struck together, often used in advertising or as a signal.	
Whack, thwack	A sharp, percussive sound produced by a hard impact, such as a hammer hitting a surface or a ball bouncing off a wall.	
Pizzicato	"A musical technique in which a stringed instrument is plucked or ""pizzicato""ed, producing a short, staccato sound."	
Dubstep	A genre of electronic dance music characterized by its heavy bass, fast tempo, and syncopated rhythms, often featuring distorted and glitched sounds.	
Drone music	A type of electronic music characterized by its repetitive, hypnotic soundscapes often produced using synthesizers and other electronic instruments.	
Zing	A short, sharp, high-pitched sound often produced by metal striking metal or by the opening of a can or bottle.	
Duck	The quacking vocalizations produced by ducks, characterized by their distinctive, rhythmic pattern and high-pitched frequency.	
Steelpan	A percussion instrument made from steel sheets, producing a bright, resonant sound with a wide range of tones.	
Ukulele	A small, stringed instrument with a distinctive, twangy sound, typically played with fingers or a plectrum.	
Trap music	A genre of hip hop music characterized by its fast tempo, heavy bass, and aggressive, confrontational lyrics.	
Hammond organ	A type of electric organ with a distinctive, warm, and resonant sound, often used in jazz and blues music.	
Oldschool jungle	A subgenre of drum and bass music originating in the UK in the late 1980s and early 1990s, characterized by its fast tempo, heavy basslines, and intricate rhythms.	
Kuduro	A genre of electronic dance music originating in Angola in the 2000s, characterized by its fast tempo, heavy basslines, and energetic vocals.	
Squish	The sound of something soft and squishy being squeezed or mashed, often accompanied by a slight popping or crackling noise.	
Gobble	The loud, guttural sound produced by a bird or animal when consuming food, characterized by a rapid, rhythmic series of short, sharp sounds.	
Grime music	A subgenre of electronic dance music characterized by its heavy, distorted basslines, fast-paced beats, and glitchy, staccato synths.	
Maraca	A percussion instrument consisting of a hollow gourd or calabash filled with seeds or beads, shaken to produce a rhythmic sound.	
Moo	The low, resonant sound produced by cows, often used to identify them or to signal their presence.	
Dance music	"A genre of music produced largely for nightclubs, festivals, and raves, characterized by repetitive beats produced largely for nightclubs, festivals, and raves, often produced largely for playback by DJs who create seamless selections of audio called ""mixes"" by segueing from one recording to another."	
Clickety-clack	The rhythmic, metallic sound produced by the movement of small objects, such as train wheels or typewriter keys.	
Happy music	A genre of music characterized by its upbeat tempo, major key, and positive lyrics, often associated with feelings of joy and happiness.	
Flute	A woodwind instrument played by blowing air across a hole in the top of the instrument, producing a high-pitched, whistling sound.	
Zither	A stringed musical instrument with a wooden frame and metal strings, played by plucking or strumming.	
Orchestra	A large instrumental ensemble that performs classical music, typically consisting of a variety of stringed, woodwind, and percussion instruments.	
Chord	A combination of three or more different musical notes played simultaneously, often used as a harmonic foundation in music.	
Gospel music	A genre of Christian music characterized by its uplifting, soulful, and rhythmic vocals, often accompanied by instruments such as the piano, guitar, and drums.	
Wood block	A percussion instrument made from a block of wood, struck with a mallet to produce a sharp, resonant sound.	
Beep, bleep	A short, high-pitched electronic sound used to indicate a signal or alert, often heard in electronic devices such as computers and smartphones.	
Soca music	A genre of music originating in Trinidad and Tobago, characterized by its lively, upbeat tempo, and use of brass instruments, percussion, and vocals.	
Electro	A genre of electronic dance music (EDM) characterized by its use of synthesizers, drum machines, and other electronic instruments, often with a focus on repetitive beats and melodies.	
Birthday music	A collection of songs and melodies typically played at birthday celebrations, often chosen for their upbeat tempo, catchy hooks, and celebratory lyrics.	
Sound effect	A pre-recorded or synthesized sound used in movies, TV shows, video games, and other media to enhance the audio experience.	
Mellotron	An electronic instrument that simulates the sound of a choir or orchestra, often used in pop and rock music.	
Drum and bass	A genre of electronic dance music characterized by its heavy bass lines, fast tempo, and intricate drum patterns.	
Saxophone	A woodwind instrument with a single reed and a conical bore, characterized by its distinctive, resonant sound.	
Ping	A short, high-pitched sound produced by the impact of a hard object on a surface, often used as a signal or warning sound.	
Double bass	A large, stringed musical instrument with a deep, rich sound, played with a bow or plucked with fingers.	
Donkey, ass	A large, hoofed mammal with a long, curved back and a short, stubby tail, known for its distinctive braying sound.	
Singing bowl	A shallow, wide-mouthed bowl made of metal or ceramic, used for meditation or sound healing, characterized by a resonant, ringing sound when struck or rubbed.	
Violin, fiddle	A stringed musical instrument with a wooden body and a bow used to produce sound, known for its high-pitched, sweet, and expressive sound.	
Other sourceless	A sound that does not have a clear source, often characterized by its softness and lack of distinctness.	
Lullaby	A soothing, melodic song or music played to calm or lull someone to sleep.	
Shofar	A traditional Jewish instrument made from a ram's horn, used to signal important events and to sound the alarm.	
Goose	A bird known for its distinctive, high-pitched honk sound	
Didgeridoo	An ancient wind instrument made from hollowed-out eucalyptus trees, characterized by its deep, resonant sound	
Honk	A short, sharp sound produced by blowing air through a narrow opening, often used to signal or alert others	
Tapping (guitar technique)	A percussive technique used to play the guitar by striking the strings with the fingers, creating a sharp, rhythmic sound.	
Drum machine	An electronic device that simulates the sound of drums, often used in electronic music production.	
Rhodes piano	An electric piano with a distinctive, warm, and resonant sound, characterized by its use of a unique type of speaker.	
Plop	A short, sharp, and sudden sound produced by a small object hitting a surface, such as a ball bouncing off a wall.	
Electric piano	A musical instrument that produces sound by sending an electric current through a set of strings, resulting in a unique and resonant tone.	
Harmony	A musical term that refers to the combination of two or more melodic lines played simultaneously, resulting in a pleasing and balanced sound.	
Loop	A continuous, repeating sound or sequence of sounds, often produced by a mechanical device or electronic instrument.	
Rub	A short, sharp sound produced by friction or scratching, often heard when someone is rubbing something against a hard surface.	
Cornet	A brass musical instrument with a conical, flared bell and a distinctive, bright, and mellow sound.	
Clavinet	A percussion instrument with a wooden body and metal strings, producing a bright, twangy sound when struck or plucked.	
Squeal	A high-pitched, piercing sound produced by the sudden release of air from a narrow opening, such as the vocal cords or a rubber duck.	
UK garage	A subgenre of electronic dance music originating in the United Kingdom, characterized by its use of broken beats, distorted basslines, and fast-paced rhythms.	
Jingle bell	A short, cheerful sound produced by a metal bell, often used in advertising or as a signal.	
Rock and roll	A genre of popular music characterized by its strong, steady rhythm, often accompanied by electric guitars, bass, and drums.	
Deformable shell	A type of shell that can change shape or form, such as a snail shell or a tortoise shell.	
Rustle	A soft, gentle sound produced by the movement of leaves or other light materials, often characterized by a whispering or rustling quality.	
Sampler	A device used to record and play back a variety of sounds, often used in electronic music production.	
Tuning fork	A small, metal instrument used to produce a high-pitched sound, often used as a reference point for tuning musical instruments.	
Musical note	A distinct, high-pitched sound produced by a musical instrument or voice, often used in music composition and performance.	
Dub	A genre of reggae music characterized by its heavy use of electronic effects, particularly dubbing, which involves repeating and manipulating a section of a song to create a new rhythm or melody.	
Wedding music	A selection of songs or instrumental pieces played during a wedding ceremony or reception, often chosen to create a festive and romantic atmosphere.	
Clang	A sharp, metallic sound produced by the impact of two hard surfaces, often associated with machinery or construction work.	
Clicking	A short, sharp sound produced by the rapid movement of a small object, such as a mouse or a camera shutter.	
Jingle (music)	A short, catchy tune played on a musical instrument or synthesizer, often used to advertise products or services.	
Clatter	A sharp, metallic sound produced by the striking of hard objects against each other, often characterized by a rhythmic pattern.	
Noise music	A genre of music characterized by its use of unconventional sounds and rhythms, often incorporating electronic and industrial elements.	
Rumble	A deep, continuous sound produced by the movement of large objects or the vibration of a surface, often associated with thunder or machinery.	
Soundtrack music	Background music used in movies, television shows, or video games to set the mood or atmosphere	
Song	A musical composition with lyrics and a melody, often performed by a singer or group of singers	
Sad music	Music that elicits feelings of sadness, melancholy, or sorrow, often characterized by slow tempos, minor keys, and emotional vocals	
Tender music	Soft, melodic, and emotionally evocative music often characterized by slow tempos and gentle dynamics.	
Generic impact sounds	Sounds produced by the collision of two objects or the striking of a single object against a surface, characterized by sharp, short bursts of sound.	
	Not applicable.	
Beat	A rhythmic sound produced by a drum or other percussion instrument, often characterized by its steady, pulsating quality.	
Crunch	A sharp, crackling sound produced by the impact of two hard objects, such as metal on metal or glass on glass.	
Punk rock	A genre of music characterized by its fast tempo, aggressive vocals, and raw, unpolished sound, often associated with rebellious and anti-establishment themes.	
Progressive rock	A genre of rock music characterized by its complex and intricate soundscapes, often featuring a wide range of instruments and sound effects.	
Turkey	The sound of a bird's call, characterized by its distinctive, high-pitched whistle-like tone.	
Fizz	The sound of carbonation in a beverage, characterized by its sharp, crackling noise.	
Theme music	A melodic and rhythmic instrumental or vocal composition, often associated with a particular TV show, movie, or event.	
Creak	A low-pitched, metallic sound produced by the movement of a door, floorboard, or other object with loose parts.	
Soprano saxophone	A woodwind instrument with a high-pitched, bright sound, played by blowing air through a single reed and vibrating the lips to produce notes.	
Yak	A large, hoofed mammal native to the Arctic and subarctic regions, characterized by its distinctive braying or mooing sound	
Electronic organ	An electronic musical instrument that simulates the sound of an organ, often used in electronic music and sound design	
Carnatic music	A classical music tradition of South India, characterized by its use of ragas (melodic frameworks) and tala (rhythmic cycles)	
Drone	A low-pitched, continuous sound produced by a single-pitch instrument or a mechanical device, often associated with a sense of monotony or repetition.	
Oboe	A woodwind instrument with a distinctive, haunting sound characterized by its high-pitched notes and complex, expressive melodies.	
Clarinet	A woodwind instrument with a bright, clear sound characterized by its high-pitched notes and intricate, rhythmic patterns.	
Electronica	A genre of percussive electronic music produced largely for nightclubs, festivals, and raves, generally produced largely for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another.	
Vibration	A rapid, back-and-forth movement of particles or objects, often producing a sound or sensation.	
Squawk	A loud, sharp, and short vocalization produced by birds, often used for communication or warning.	
Unmodified field recording	An audio recording made in its natural environment, without any processing or manipulation, capturing the ambient sounds of the surroundings.	
Pink noise	A type of white noise that has a pinkish hue due to its frequency spectrum, characterized by a gradual decrease in power as frequency increases.	
Mains hum	The low-frequency humming sound produced by the electrical power grid, typically heard when the power is on.	
Distortion	An audio effect that intentionally alters the sound by introducing unwanted noise or distortion, often used in music production or sound design.	
Field recording	A recording of natural sounds made in an outdoor environment, often capturing ambient noise and sounds of animals and other natural phenomena.	
Whimper (dog)	A low, mournful sound made by a dog, often indicating pain, fear, or sadness.	
Mosquito	The high-pitched buzzing sound produced by mosquitoes, often accompanied by a faint humming or buzzing sound.	
Patter	A rhythmic, repetitive sound produced by the impact of small objects or surfaces, such as raindrops or footsteps.	
Cacophony	A harsh, discordant mixture of sounds that is unpleasant to the ear, often characterized by a lack of harmony or melody.	
Hubbub, speech noise, speech babble	A loud, chaotic mixture of voices and sounds produced by a group of people talking or shouting, often characterized by overlapping speech and a lack of clarity.	
Throbbing	A rhythmic pulsing sound produced by the heartbeat or other internal organs, characterized by a steady, deep rhythm.	
Coo	The soft, melodious vocalization produced by a pigeon, often used to attract mates or communicate with other pigeons.	
Mouse	The small, high-pitched squeaks produced by a mouse, often used to alert humans to their presence or to communicate with other mice.	
Roar	A loud, deep, and resonant sound produced by an animal, such as a lion or a bear, often used to communicate or intimidate.	
Echo	The repetition of a sound due to the reflection of the sound waves in a medium, such as air or water, resulting in a delayed and fainter version of the original sound.	
Environmental noise	The background sound produced by the environment, such as traffic, construction, or natural sounds like birdsong or waves, which can be used to identify the location or context of a sound.	
White noise, pink noise	A type of noise characterized by its uniformity and lack of distinguishable sound patterns, often used as a background sound or to mask other sounds.	
Owl	The hooting or screeching vocalizations produced by owls, often characterized by their distinct, haunting tones and irregular rhythms.	
Pigeon, dove	The cooing or coo-cooing vocalizations produced by pigeons and doves, often characterized by their soft, melodic tones and repetitive patterns.	
Tape hiss	A faint, continuous, high-pitched sound produced by the movement of magnetic tape on a tape recorder or player.	
Sidetone	A low-level, continuous sound produced by a microphone or speaker that is used to monitor the audio signal during recording or playback.	
Hoot	A loud, short, high-pitched sound produced by an owl, often used to communicate or attract prey.	
Static	A sound that is stationary and does not change in pitch, volume, or timbre over time.	
Yip	A high-pitched, excited vocalization often produced by dogs or other animals.	
Radio	The sound produced by a radio broadcast, characterized by its static and interference-like qualities.	
Fly, housefly	A small, buzzing insect that produces a high-pitched, rhythmic sound while flying.	
Background noise	A low-level, continuous sound that is present in the background of an audio recording, often characterized by its lack of distinct features.	
Chipmunk	A small, chattering rodent that produces a high-pitched, squeaky sound when it scurries or chirps.	
Croak	The distinctive, hoarse vocalization produced by a frog, often used to attract mates or warn predators.	
Roaring cats (lions, tigers)	The loud, deep, and resonant vocalizations produced by lions and tigers, often used for communication, territorial defense, or hunting.	
White noise	The high-frequency, random, and unstructured sound produced by a variety of sources, such as electrical devices, air conditioning systems, or traffic, characterized by its lack of distinguishable patterns or rhythms.	
Snake	A slithering, hissing, and sometimes buzzing sound produced by the movement of a snake's body and the vibration of its scales.	
Rodents, rats, mice	The squeaking, scurrying, and rustling sounds produced by rodents, often characterized by their small size and quick movements.	
Noise	A general term for any unwanted sound, often characterized by its intensity, frequency, and duration.	
Reverberation	The echoing or bouncing of sound waves in a space, resulting in a prolonged and diffused sound.	
Whale vocalization	The complex and varied vocalizations produced by whales, often characterized by their low frequencies, long durations, and intricate patterns.	
Gramophone record	A vinyl record played on a gramophone, characterized by its scratchy and warm sound quality.	
Cart	A wheeled vehicle used for transportation, characterized by its metallic structure and the sound of its wheels rolling on a surface.	
Shuffling cards	The sound of cards being shuffled together, characterized by their rustling and the occasional snap of the cards.	
Sound reproduction	The process of capturing and producing sound, characterized by the use of microphones, speakers, and amplifiers.	
Velcro, hook and loop fastener	A fastening system consisting of two strips, one with tiny hooks and the other with small loops, that can be easily attached and detached from each other.	
Ice cream truck, ice cream van	A vehicle designed to sell ice cream, typically equipped with a freezer, a cash register, and a loudspeaker to attract customers.	
Hiccup	An involuntary, rhythmic contraction of the diaphragm and closure of the glottis, resulting in the ingestion of air and a characteristic sound.	
Wood	The sound produced by striking or rubbing wood, characterized by a dull, resonant tone.	
Rapping	The rhythmic, spoken vocalizations often accompanied by music, characterized by a distinctive cadence and flow.	
Mantra	The repetition of a word or phrase, often chanted or whispered, as a form of meditation or spiritual practice, producing a soft, sustained sound.	
Eruption	A sudden, explosive sound produced by the release of pressure or energy, often accompanied by a sharp, crackling noise.	
Sanding	The sound produced by the movement of sand over a surface, characterized by a rough, gritty texture and a low-pitched rumble.	
Channel, environment and background	The ambient sounds that make up the background of a particular environment, including the sounds of people, vehicles, and other activities, as well as the natural sounds of the environment such as wind, water, and birds.	
Howl	A loud, mournful sound produced by wolves, often heard at night	
Ship	The continuous, rhythmic sound produced by the movement of a ship through water, characterized by its pitch and intensity	
Kettle whistle	The high-pitched sound produced by a kettle whistle, often used to signal the boiling of water	
Whoop	A loud, high-pitched vocalization often used to express excitement or joy	
Heart sounds, heartbeat	The rhythmic, pulsating sounds produced by the heart as it pumps blood	
Alert	A sudden, sharp sound often used to signal danger or attention	
Rowboat, canoe, kayak	A small watercraft propelled by a single person using a paddle or oar.	
Acoustic environment	The overall soundscape of a particular location, including natural and human-made sounds.	
Steam	The hissing, whistling, or bubbling sound produced by the rapid expansion of water heated to its boiling point.	
Paper rustling	The sound produced by the movement of paper, characterized by a soft, crinkling noise.	
Groan	A low, guttural sound often associated with discomfort or pain.	
Slurp, drinking straw	The sound produced by the suction of liquid through a straw, characterized by a soft, slurping noise.	
Sonar	A high-frequency sound wave used to detect objects in water or air, often used in navigation or military applications.	
Error signal	A signal used to indicate an error or malfunction in a system or device, often characterized by a high-pitched or repetitive sound.	
Sonic boom	A loud, explosive sound produced by the rapid expansion of air or other gases, often heard when an aircraft or other object moves through the air at high speeds.	
